PG_IDX,Power,INFEASIBLE,Constraint_Distance,Constraint,SNBS,SNBS_u,SNBS_ω,SURV,SURV_u,SURV_ω,NodeClass,degree,betweenness
-8339886963591873876,Slack,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,8,0.26234011642174904
-8339886963591873876,-0.7705883664007406,0.0,1.0,0.0,1.0,1.0,1.0,0.956,0.956,1.0,Root,8,0.14681018150405906
-8339886963591873876,-0.14510899634436158,0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.98,1.0,Root,9,0.49490384898548173
-8339886963591873876,0.627389161180587,0.0,1.0,1.0,1.0,1.0,1.0,0.92,0.92,1.0,Root,8,0.15266611695183127
-8339886963591873876,-0.9748088840177657,0.032,1.0,0.0,0.968,0.968,0.968,0.48,0.48,0.932,Root,5,0.06327414082516125
-8339886963591873876,0.28355675482092363,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,4,0.05408163265306119
-8339886963591873876,0.8785726532388968,0.0,1.0,0.0,1.0,1.0,1.0,0.852,0.852,1.0,Root,7,0.3518268201941671
-8339886963591873876,0.42052282293650306,0.0,1.0,1.0,1.0,1.0,1.0,0.892,0.892,1.0,Root,6,0.06222428365285508
-8339886963591873876,0.3780839545510214,0.0,1.0,0.0,1.0,1.0,1.0,0.708,0.708,1.0,Root,5,0.1768231390680371
-8339886963591873876,-0.3042856434997865,0.0,1.0,1.0,1.0,1.0,1.0,0.808,0.808,1.0,Bulk,4,0.021833986119700402
-8339886963591873876,-0.24283627940191715,0.0,1.0,0.0,1.0,1.0,1.0,0.412,0.412,0.9,Bulk,4,0.08719508005222293
-8339886963591873876,-0.9718520487612718,0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.98,1.0,Bulk,3,0.005400948258091119
-8339886963591873876,-0.4483540307302213,0.0,1.0,1.0,1.0,1.0,1.0,0.892,0.892,1.0,Root,6,0.1613035113035113
