PG_IDX,Power,INFEASIBLE,Constraint_Distance,Constraint,SNBS,SNBS_u,SNBS_ω,SURV,SURV_u,SURV_ω,NodeClass,degree,betweenness
513909649368406544,Slack,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Root,8,0.21500083438858938
513909649368406544,0.3429159423567025,0.128,1.0,0.0,0.868,0.868,0.868,0.732,0.732,0.868,Bulk,9,0.35035289729167257
513909649368406544,0.4693394849368946,0.0,1.0,1.0,1.0,1.0,1.0,0.968,0.968,1.0,Bulk,5,0.16129713068488566
513909649368406544,0.4238188610942236,0.18,1.0,0.0,0.82,0.82,0.82,0.384,0.384,0.78,Root,5,0.05090457539437131
513909649368406544,0.46062600191499414,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,4,0.13531525164178226
513909649368406544,-0.45614940752249783,0.084,1.0,0.0,0.904,0.904,0.908,0.408,0.408,0.868,Bulk,5,0.04166494880780595
513909649368406544,-0.5095783393341239,0.18,1.0,0.0,0.816,0.816,0.816,0.74,0.74,0.816,Bulk,8,0.33807413297209205
513909649368406544,0.9614921274480648,0.0,1.0,1.0,1.0,1.0,1.0,0.964,0.964,1.0,Bulk,5,0.1043309675962737
513909649368406544,-0.6312387589582237,0.18,1.0,0.0,0.816,0.816,0.816,0.408,0.408,0.816,Root,4,0.02108156393870679
513909649368406544,0.8829855614528995,0.284,1.0,0.0,0.712,0.712,0.712,0.416,0.416,0.688,Bulk,5,0.09928831561484622
513909649368406544,-0.20935986964075515,0.272,1.0,0.0,0.724,0.724,0.724,0.516,0.516,0.724,Bulk,5,0.04781881006370798
513909649368406544,0.6925084263279064,0.032,1.0,1.0,0.968,0.968,0.968,0.848,0.848,0.968,Bulk,3,0.06941229594290818
513909649368406544,-0.8976445717806517,0.368,1.0,0.0,0.612,0.612,0.612,0.472,0.472,0.612,Bulk,3,0.08382120524977665
513909649368406544,-0.6909508146431177,0.0,2.0,1.0,1.0,1.0,1.0,0.948,0.948,1.0,Bulk,4,0.03255097132648153
513909649368406544,0.2687307122183278,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,Root,5,0.1667849535196473
513909649368406544,-0.06816469949391117,0.02,2.0,0.0,0.98,0.98,0.98,0.34,0.34,0.948,Bulk,2,0.0
513909649368406544,-0.4060314752144159,0.0,1.0,1.0,1.0,1.0,1.0,0.956,0.956,1.0,Root,6,0.19431585043829938
513909649368406544,-0.5454889522806772,0.016,2.0,0.0,0.984,0.984,0.984,0.348,0.352,0.896,Bulk,3,0.012054461034052878
513909649368406544,0.6747418063124992,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,2,0.021440841849005115
513909649368406544,-0.5699010607712298,0.12,1.0,0.0,0.88,0.88,0.88,0.32,0.32,0.808,Bulk,4,0.027213829254645584
513909649368406544,0.33719088621006155,0.016,2.0,0.0,0.984,0.984,0.984,0.284,0.284,0.916,Bulk,2,0.05455232598089742
513909649368406544,-0.2007883598807552,0.204,1.0,0.0,0.784,0.784,0.784,0.42,0.42,0.784,Bulk,4,0.15163932816994033
513909649368406544,-0.3176185140829233,0.008,1.0,0.0,0.992,0.992,0.992,0.664,0.668,0.984,Bulk,6,0.08437730070383131
513909649368406544,0.037880229845196,0.0,1.0,1.0,1.0,1.0,1.0,0.944,0.944,1.0,Root,6,0.08833721078619038
513909649368406544,0.1795963305365118,0.008,1.0,1.0,0.992,0.992,0.992,0.924,0.924,0.992,Bulk,4,0.11886945254292199
513909649368406544,0.8709943922054799,0.284,1.0,0.0,0.712,0.712,0.712,0.312,0.312,0.708,Bulk,3,0.020229996760609003
513909649368406544,-0.05660653307318064,0.0,1.0,0.0,1.0,1.0,1.0,0.284,0.284,0.996,Dense Sprout,1,0.0
513909649368406544,-0.22767150713060286,0.024,2.0,1.0,0.972,0.972,0.972,0.832,0.832,0.972,Bulk,3,0.01710938343591403
513909649368406544,-0.030579157878585162,0.012,2.0,1.0,0.988,0.988,0.988,0.812,0.812,0.988,Bulk,2,0.027654091939806218
513909649368406544,-0.3558599469898399,0.004,1.0,0.0,0.972,0.972,0.996,0.524,0.524,0.996,Root,3,0.0202020202020202
513909649368406544,-0.5558996374109337,0.232,1.0,0.0,0.764,0.764,0.764,0.372,0.372,0.764,Bulk,3,0.005497148354291212
513909649368406544,0.9216224730418374,0.0,1.0,1.0,1.0,1.0,1.0,0.928,0.928,1.0,Root,6,0.13549979876510487
513909649368406544,-0.02639819281980532,0.064,1.0,0.0,0.936,0.936,0.936,0.46,0.46,0.936,Bulk,4,0.04365079365079364
513909649368406544,-0.4934353149264964,0.0,1.0,1.0,1.0,1.0,1.0,0.992,0.992,1.0,Root,7,0.16067870149502797
513909649368406544,0.013920933824213083,0.012,1.0,1.0,0.988,0.988,0.988,0.608,0.608,0.988,Inner Tree Node,3,0.04019789734075448
513909649368406544,0.8536118297802027,0.0,1.0,1.0,1.0,1.0,1.0,0.84,0.84,1.0,Bulk,3,0.03454957740672025
513909649368406544,0.5139848649220725,0.0,1.0,1.0,1.0,1.0,1.0,0.952,0.952,1.0,Root,5,0.06562417174662072
513909649368406544,-0.44401278405010697,0.016,1.0,0.0,0.984,0.984,0.984,0.528,0.528,0.984,Bulk,3,0.03169106026248883
513909649368406544,-0.6447816934317693,0.2,2.0,0.0,0.8,0.8,0.8,0.308,0.308,0.8,Sparse Sprout,1,0.0
513909649368406544,-0.5973249492600935,0.072,1.0,0.0,0.928,0.928,0.928,0.696,0.696,0.928,Root,4,0.049199477770906344
513909649368406544,0.7994101312511608,0.0,1.0,1.0,0.832,0.832,1.0,0.832,0.832,1.0,Inner Tree Node,2,0.0202020202020202
513909649368406544,0.8457707453522814,0.0,1.0,1.0,1.0,1.0,1.0,0.852,0.852,1.0,Bulk,2,0.011958260937852773
513909649368406544,0.4641634853170784,0.024,2.0,0.0,0.976,0.976,0.976,0.324,0.324,0.872,Bulk,4,0.03422661994090564
513909649368406544,-0.40351853865116677,0.0,1.0,1.0,1.0,1.0,1.0,0.92,0.92,1.0,Dense Sprout,1,0.0
513909649368406544,-0.7938193250203035,0.104,1.0,0.0,0.884,0.884,0.884,0.388,0.388,0.88,Bulk,3,0.0012368583797155224
513909649368406544,-0.4178324055796608,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,2,0.0
513909649368406544,0.12983313852491207,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Root,3,0.1791986924639986
513909649368406544,0.37585648172133174,0.0,1.0,1.0,1.0,1.0,1.0,0.724,0.724,1.0,Root,3,0.025712911427197144
513909649368406544,-0.9213667187685741,0.124,1.0,1.0,0.876,0.876,0.876,0.788,0.788,0.876,Root,3,0.1065484779770494
513909649368406544,0.16731637920322712,0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.98,1.0,Root,4,0.020579949151377723
513909649368406544,-0.9811912762620731,0.432,1.0,0.0,0.46,0.46,0.46,0.288,0.288,0.46,Inner Tree Node,2,0.0202020202020202
513909649368406544,0.4149687724193865,0.112,2.0,0.0,0.888,0.888,0.888,0.348,0.348,0.844,Bulk,3,0.02143544286401429
513909649368406544,0.7903116321080667,0.04,2.0,1.0,0.96,0.96,0.96,0.584,0.584,0.96,Inner Tree Node,2,0.0202020202020202
513909649368406544,-0.30557223400492933,0.0,1.0,1.0,1.0,1.0,1.0,0.928,0.928,1.0,Root,3,0.028942486085343222
513909649368406544,0.6737602845116565,0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.98,1.0,Dense Sprout,1,0.0
513909649368406544,-0.7655054372423914,0.0,1.0,1.0,1.0,1.0,1.0,0.884,0.884,1.0,Sparse Sprout,1,0.0
513909649368406544,-0.7376191928989904,0.156,1.0,0.0,0.844,0.844,0.844,0.328,0.328,0.824,Bulk,3,0.05047461986237498
513909649368406544,-0.6201925603805734,0.004,2.0,1.0,0.996,0.996,0.996,0.656,0.656,0.996,Bulk,2,0.0022057307771593485
513909649368406544,0.5704316782748888,0.188,1.0,0.0,0.812,0.812,0.812,0.376,0.376,0.812,Bulk,3,0.017656153370439083
513909649368406544,-0.42296224191077675,0.06,1.0,1.0,0.94,0.94,0.94,0.908,0.908,0.94,Bulk,2,0.0
513909649368406544,-0.8230231372424608,0.008,2.0,1.0,0.936,0.936,0.992,0.648,0.648,0.992,Sparse Sprout,1,0.0
513909649368406544,-0.5190369036181992,0.004,2.0,1.0,0.9,0.9,0.996,0.504,0.504,0.996,Sparse Sprout,1,0.0
513909649368406544,-0.4866629350351127,0.112,1.0,1.0,0.888,0.888,0.888,0.696,0.696,0.888,Bulk,2,0.0
513909649368406544,0.38096772770702025,0.18,1.0,1.0,0.816,0.816,0.816,0.68,0.68,0.816,Bulk,2,0.012323919466776608
513909649368406544,0.8550958970965548,0.204,1.0,0.0,0.796,0.796,0.796,0.484,0.484,0.796,Proper Leave,1,0.0
513909649368406544,-0.15356323617110273,0.0,2.0,0.0,1.0,1.0,1.0,0.308,0.312,0.892,Bulk,3,0.008755190387843444
513909649368406544,0.04732199825903671,0.14,2.0,0.0,0.856,0.856,0.856,0.232,0.232,0.856,Proper Leave,1,0.0
513909649368406544,0.5823913570084162,0.108,2.0,0.0,0.892,0.892,0.892,0.256,0.256,0.892,Sparse Sprout,1,0.0
513909649368406544,0.543917939306875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sparse Sprout,1,0.0
513909649368406544,0.183824693845168,0.0,1.0,0.0,0.948,0.948,1.0,0.612,0.612,1.0,Root,3,0.0202020202020202
513909649368406544,0.9679418895788398,0.004,1.0,1.0,0.972,0.972,0.996,0.892,0.892,0.996,Sparse Sprout,1,0.0
513909649368406544,-0.8519965368745749,0.004,1.0,1.0,0.748,0.748,0.996,0.748,0.748,0.996,Proper Leave,1,0.0
513909649368406544,-0.23936039022462613,0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.98,1.0,Root,4,0.030199958771387335
513909649368406544,-0.5586932359672284,0.0,1.0,1.0,1.0,1.0,1.0,0.96,0.96,1.0,Sparse Sprout,1,0.0
513909649368406544,-0.04942677148662493,0.0,1.0,0.0,1.0,1.0,1.0,0.392,0.392,1.0,Bulk,2,0.0
513909649368406544,-0.5334544044101142,0.0,2.0,1.0,1.0,1.0,1.0,0.684,0.684,1.0,Root,3,0.0202020202020202
513909649368406544,0.07118420337762854,0.252,1.0,0.0,0.736,0.736,0.736,0.42,0.42,0.736,Inner Tree Node,2,0.03999175427746856
513909649368406544,-0.5373052816430347,0.06,1.0,1.0,0.94,0.94,0.94,0.64,0.64,0.94,Proper Leave,1,0.0
513909649368406544,-0.09682905578717604,0.0,1.0,1.0,1.0,1.0,1.0,0.516,0.516,1.0,Inner Tree Node,2,0.0202020202020202
513909649368406544,-0.2460647607952252,0.0,2.0,1.0,1.0,1.0,1.0,0.656,0.656,1.0,Bulk,2,0.0
513909649368406544,-0.959213083685293,0.004,2.0,1.0,0.828,0.828,0.996,0.56,0.56,0.996,Sparse Sprout,1,0.0
513909649368406544,-0.20133172077899322,0.056,1.0,0.0,0.944,0.944,0.944,0.452,0.452,0.944,Bulk,2,0.012883941455370026
513909649368406544,0.2927928596714485,0.044,1.0,0.0,0.956,0.956,0.956,0.344,0.344,0.956,Proper Leave,1,0.0
513909649368406544,0.6992503127831599,0.076,2.0,0.0,0.88,0.88,0.88,0.348,0.348,0.86,Bulk,2,0.0
513909649368406544,0.09232230972071132,0.04,1.0,0.0,0.96,0.96,0.96,0.28,0.28,0.96,Proper Leave,1,0.0
513909649368406544,0.24367485844563766,0.0,1.0,1.0,1.0,1.0,1.0,0.996,0.996,1.0,Bulk,2,0.0
513909649368406544,-0.8965193051360687,0.0,1.0,0.0,0.816,0.816,0.816,0.264,0.264,0.816,Dense Sprout,1,0.0
513909649368406544,-0.6531810348193281,0.0,1.0,1.0,1.0,1.0,1.0,0.964,0.964,1.0,Bulk,2,0.0
513909649368406544,-0.16090356747757428,0.016,1.0,0.0,0.984,0.984,0.984,0.4,0.4,0.984,Bulk,2,0.013330584759156189
513909649368406544,-0.7759328679172743,0.0,1.0,0.0,0.744,0.744,0.744,0.308,0.308,0.744,Sparse Sprout,1,0.0
