PG_IDX,Power,INFEASIBLE,Constraint_Distance,Constraint,SNBS,SNBS_u,SNBS_ω,SURV,SURV_u,SURV_ω,NodeClass,degree,betweenness
-2351091494460819969,Slack,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,10,0.37334194439659946
-2351091494460819969,-0.8908063552870754,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,7,0.3907436505066662
-2351091494460819969,0.6916796359297761,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,6,0.09560116183151042
-2351091494460819969,0.65400241426322,0.012,1.0,0.0,0.984,0.984,0.984,0.568,0.568,0.96,Root,6,0.21363175438962026
-2351091494460819969,-0.3558097268534064,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,3,0.010271001805031679
-2351091494460819969,0.14747095284376452,0.0,1.0,1.0,1.0,1.0,1.0,0.968,0.968,1.0,Bulk,4,0.04500970032509919
-2351091494460819969,0.9822550925784691,0.0,1.0,1.0,1.0,1.0,1.0,0.936,0.936,1.0,Bulk,7,0.21488887963334244
-2351091494460819969,-0.19337009794601062,0.0,1.0,1.0,1.0,1.0,1.0,0.976,0.976,1.0,Bulk,8,0.22298782109701973
-2351091494460819969,-0.6774265760427216,0.0,1.0,1.0,1.0,1.0,1.0,0.912,0.912,1.0,Bulk,7,0.17965575587926935
-2351091494460819969,-0.3583459290117553,0.0,1.0,1.0,1.0,1.0,1.0,0.952,0.952,1.0,Bulk,7,0.12438329163343985
-2351091494460819969,-0.25562992082342245,0.0,1.0,0.0,1.0,1.0,1.0,0.944,0.944,1.0,Root,7,0.0990349535860546
-2351091494460819969,0.4136695860325855,0.0,1.0,0.0,1.0,1.0,1.0,0.684,0.684,0.996,Bulk,7,0.22673181429976716
-2351091494460819969,0.41518691831084525,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Root,3,0.03962953772868168
-2351091494460819969,-0.10187989442442515,0.0,1.0,1.0,1.0,1.0,1.0,0.932,0.932,1.0,Bulk,4,0.03409589906188546
-2351091494460819969,0.6769991001167582,0.0,1.0,1.0,1.0,1.0,1.0,0.836,0.836,1.0,Bulk,4,0.09329549070010462
-2351091494460819969,-0.8372077417275752,0.0,1.0,0.0,1.0,1.0,1.0,0.796,0.796,1.0,Root,6,0.08171270082216274
-2351091494460819969,0.3861412879190771,0.02,1.0,0.0,0.976,0.976,0.976,0.448,0.448,0.976,Bulk,4,0.04310271487142228
-2351091494460819969,-0.7706776440076137,0.0,1.0,0.0,1.0,1.0,1.0,0.656,0.656,1.0,Root,6,0.13973504868559417
-2351091494460819969,0.16255521794200636,0.0,2.0,0.0,1.0,1.0,1.0,0.344,0.344,0.944,Dense Sprout,1,0.0
-2351091494460819969,-0.9508524519997086,0.0,1.0,1.0,1.0,1.0,1.0,0.864,0.864,1.0,Bulk,3,0.008565244279529989
-2351091494460819969,-0.69864653030794,0.004,1.0,0.0,0.92,0.92,0.92,0.532,0.532,0.908,Bulk,5,0.04492528131983906
-2351091494460819969,-0.8168494845780695,0.0,1.0,1.0,1.0,1.0,1.0,0.876,0.876,1.0,Root,5,0.05333716203281425
-2351091494460819969,0.4137734353177667,0.0,1.0,0.0,1.0,1.0,1.0,0.388,0.388,0.892,Bulk,3,0.002112966398680685
-2351091494460819969,-0.265707539781034,0.0,1.0,1.0,1.0,1.0,1.0,0.92,0.92,1.0,Inner Tree Node,2,0.0202020202020202
-2351091494460819969,0.3529044697453658,0.016,1.0,0.0,0.984,0.984,0.984,0.46,0.46,0.984,Bulk,3,0.0073747680890537985
