Table 7 - Data of Generators at Each Bus

Bus    Unit    ID    PG     QG     Qmax    Qmin    VS
ID     Type     #    MW    MVAR    MVAR    MVAR    pu
-------------------------------------------------------
101    U20      1    10     0       10       0    1.035
101    U20      2    10     0       10       0    1.035
101    U76      3    76    14.1     30     -25    1.035
101    U76      4    76    14.1     30     -25    1.035
102    U20      1    10     0       10       0    1.035
102    U20      2    10     0       10       0    1.035
102    U76      3    76     7.0     30     -25    1.035
102    U76      4    76     7.0     30     -25    1.035
107    U100     1    80    17.2     60       0    1.025
107    U100     2    80    17.2     60       0    1.025
107    U100     3    80    17.2     60       0    1.025
113    U197     1    95.1  40.7     80       0    1.020
113    U197     2    95.1  40.7     80       0    1.020
113    U197     3    95.1  40.7     80       0    1.020
114  Sync Cond  1     0    13.7    200     -50    0.980
115    U12      1    12     0        6       0    1.014
115    U12      2    12     0        6       0    1.014
115    U12      3    12     0        6       0    1.014
115    U12      4    12     0        6       0    1.014
115    U12      5    12     0        6       0    1.014
115    U155     6   155     0.05    80     -50    1.014
116    U155     1   155    25.22    80     -50    1.017
118    U400     1   400   137.4    200     -50    1.050
121    U400     1   400   108.2    200     -50    1.050
122    U50      1    50    -4.96    16     -10    1.050
122    U50      2    50    -4.96    16     -10    1.050
122    U50      3    50    -4.96    16     -10    1.050
122    U50      4    50    -4.96    16     -10    1.050
122    U50      5    50    -4.96    16     -10    1.050
122    U50      6    50    -4.96    16     -10    1.050
123    U155     1   155    31.79    80     -50    1.050
123    U155     2   155    31.79    80     -50    1.050
123    U350     3   350    71.78   150     -25    1.050
201    U20      1    10     0       10       0    1.035
201    U20      2    10     0       10       0    1.035
201    U76      3    76    14.1     30     -25    1.035
201    U76      4    76    14.1     30     -25    1.035
202    U20      1    10     0       10       0    1.035
202    U20      2    10     0       10       0    1.035
202    U76      3    76     7.0     30     -25    1.035
202    U76      4    76     7.0     30     -25    1.035
207    U100     1    80    17.2     60       0    1.025
207    U100     2    80    17.2     60       0    1.025
207    U100     3    80    17.2     60       0    1.025
213    U197     1    95.1  40.7     80       0    1.020
213    U197     2    95.1  40.7     80       0    1.020
213    U197     3    95.1  40.7     80       0    1.020
214  Sync Cond  1     0    13.68   200     -50    0.980
215    U12      1    12     0        6       0    1.014
215    U12      2    12     0        6       0    1.014
215    U12      3    12     0        6       0    1.014
215    U12      4    12     0        6       0    1.014
215    U12      5    12     0        6       0    1.014
215    U155     6   155     0.048   80     -50    1.014
216    U155     1   155    25.22    80     -50    1.017
218    U400     1   400   137.4    200     -50    1.050
221    U400     1   400   108.2    200     -50    1.050
222    U50      1    50    -4.96    16     -10    1.050
222    U50      2    50    -4.96    16     -10    1.050
222    U50      3    50    -4.96    16     -10    1.050
222    U50      4    50    -4.96    16     -10    1.050
222    U50      5    50    -4.96    16     -10    1.050
222    U50      6    50    -4.96    16     -10    1.050
223    U155     1   155    31.79    80     -50    1.050
223    U155     2   155    31.79    80     -50    1.050
223    U350     3   350    71.78   150     -25    1.050
301    U20      1    10     0       10       0    1.035
301    U20      2    10     0       10       0    1.035
301    U76      3    76    14.1     30     -25    1.035
301    U76      4    76    14.1     30     -25    1.035
302    U20      1    10     0       10       0    1.035
302    U20      2    10     0       10       0    1.035
302    U76      3    76     7.0     30     -25    1.035
302    U76      4    76     7.0     30     -25    1.035
307    U100     1    80    17.2     60       0    1.025
307    U100     2    80    17.2     60       0    1.025
307    U100     3    80    17.2     60       0    1.025
313    U197     1    95.1  40.7     80       0    1.02    
313    U197     2    95.1  40.7     80       0    1.02    
313    U197     3    95.1  40.7     80       0    1.02    
314  Sync Cond  1     0    13.68   200     -50    0.98    
315    U12      1    12     0        6       0    1.014
315    U12      2    12     0        6       0    1.014
315    U12      3    12     0        6       0    1.014
315    U12      4    12     0        6       0    1.014
315    U12      5    12     0        6       0    1.014
315    U155     6   155     0.048   80     -50    1.014
316    U155     1   155    25.22    80     -50    1.017
318    U400     1   400   137.4    200     -50    1.05
321    U400     1   400   108.2    200     -50    1.05
322    U50      1    50    -4.96    16     -10    1.05
322    U50      2    50    -4.96    16     -10    1.05
322    U50      3    50    -4.96    16     -10    1.05
322    U50      4    50    -4.96    16     -10    1.05
322    U50      5    50    -4.96    16     -10    1.05
322    U50      6    50    -4.96    16     -10    1.05
323    U155     1   155    31.79    80     -50    1.05
323    U155     2   155    31.79    80     -50    1.05
323    U350     3   350    71.78   150     -25    1.05

PG & QG:     are the generating unit's real & reactive power output.
Qmax & Qmin: are the limits of the unit's reactive power output.
VS:          is the unit's regulated voltage set-point.
